界面分类,界面名称,分组(模块/应用),图片对应功能,MTZ顶层模块,模块内路径,宽,高,九宫格.9.png,关键槽位
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_darkmode1.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_darkmode2.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_darkmode22.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_darkmodew.png,65,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据网络图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_data.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据网络图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_data_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据网络图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_data_left.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据网络图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_data_left_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_data.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_data_darkmode.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_in.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_in_darkmode.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_inout.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_inout_darkmode.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_out.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_dual_out_darkmode.png,16,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_flightmode.png,56,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_flightmode_darkmode.png,56,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】HD高清通话图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_hd_big.png,46,61,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】HD高清通话图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_hd_big_darkmode.png,46,61,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】HD高清通话图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_hd_notch.png,1,1,,
